id,lat,lon
0,38.677287,-77.233784
1,38.670721,-77.185167
2,38.679036,-77.131951
3,38.681841,-77.097533
4,38.673368,-77.053517
5,38.669705,-76.999904
6,38.666244,-76.960381
7,38.677475,-76.909100
8,38.669738,-76.863256
9,38.680350,-76.828712
10,38.725330,-77.221655
11,38.716941,-77.186388
12,38.728058,-77.138079
13,38.712482,-77.097356
14,38.726081,-77.043176
15,38.725354,-76.995861
16,38.720473,-76.946430
17,38.717631,-76.908972
18,38.725755,-76.862729
19,38.726337,-76.818426
20,38.768551,-77.233409
21,38.759962,-77.183975
22,38.757294,-77.139950
23,38.757676,-77.094091
24,38.767310,-77.047481
25,38.762526,-77.005234
26,38.760666,-76.947087
27,38.767532,-76.907944
28,38.758939,-76.860736
29,38.758800,-76.821992
30,38.818730,-77.222703
31,38.810936,-77.176854
32,38.816087,-77.130162
33,38.805028,-77.098521
34,38.806585,-77.049230
35,38.804702,-76.992020
36,38.816691,-76.958294
37,38.812711,-76.911790
38,38.817379,-76.865606
39,38.805674,-76.824385
40,38.856061,-77.229500
41,38.856479,-77.173012
42,38.853142,-77.140192
43,38.863920,-77.089918
44,38.847584,-77.053205
45,38.847922,-76.997704
46,38.860218,-76.956357
47,38.847091,-76.912043
48,38.863894,-76.864340
49,38.863443,-76.813319
50,38.891198,-77.221248
51,38.903274,-77.179514
52,38.895799,-77.132595
53,38.893001,-77.091265
54,38.899166,-77.036868
55,38.906772,-77.004263
56,38.900011,-76.960745
57,38.907435,-76.903234
58,38.896368,-76.862361
59,38.901963,-76.826075
60,38.949775,-77.224516
61,38.950065,-77.179633
62,38.936046,-77.138303
63,38.936387,-77.082359
64,38.951869,-77.039069
65,38.941577,-77.007965
66,38.951856,-76.946902
67,38.937579,-76.910162
68,38.937283,-76.860169
69,38.949835,-76.826515
70,38.989645,-77.224328
71,38.985857,-77.173470
72,38.988705,-77.140328
73,38.990798,-77.085947
74,38.984705,-77.048438
75,38.999012,-76.997299
76,38.988975,-76.954638
77,38.983261,-76.914870
78,38.987173,-76.863274
79,38.985227,-76.824861
80,39.027405,-77.222863
81,39.030251,-77.172875
82,39.041615,-77.142867
83,39.030414,-77.087045
84,39.029986,-77.051670
85,39.042982,-76.998720
86,39.034643,-76.949827
87,39.040676,-76.915488
88,39.027873,-76.866107
89,39.033758,-76.820414
90,39.084308,-77.222102
91,39.088904,-77.187416
92,39.078426,-77.138031
93,39.086697,-77.094619
94,39.074598,-77.045971
95,39.078773,-77.003990
96,39.075672,-76.947329
97,39.079156,-76.903399
98,39.081087,-76.872962
99,39.089176,-76.813765
